,Bedroom,HoldType,HomeType,Price,NewBuilding,latitude,longitude
7282,3,2,3,210000.0,0,51.28698013,-2.496052251
7283,3,2,2,170000.0,0,51.28888509,-2.476900056
7284,2,2,2,170000.0,0,51.28888509,-2.476900056
7285,4,2,2,199950.0,0,51.28888509,-2.476900056
7286,3,2,3,240000.0,0,51.282937609330205,-2.476651
7287,3,2,3,246500.0,0,51.282937609330205,-2.476651
7288,3,2,3,239950.0,0,51.282937609330205,-2.476651
7289,3,2,3,239950.0,0,51.282937609330205,-2.476651
7290,2,2,3,176000.0,0,51.29034248,-2.4655574369999997
7291,1,2,3,152000.0,0,51.29034248,-2.4655574369999997
7292,2,2,3,200000.0,0,51.29034248,-2.4655574369999997
7293,2,2,3,194950.0,0,51.29034248,-2.4655574369999997
7294,3,2,4,230000.0,0,51.29034248,-2.4655574369999997
7295,3,2,2,193000.0,0,51.29188932,-2.430251129
7296,3,2,2,160000.0,0,51.29188932,-2.430251129
7297,3,2,2,160000.0,0,51.29188932,-2.430251129
7298,3,2,2,169000.0,0,51.29188932,-2.430251129
7299,3,2,3,207500.0,0,51.29188932,-2.430251129
7300,3,2,4,340000.0,0,51.28904188,-2.493306825
7301,4,2,4,400000.0,0,51.28904188,-2.493306825
7302,3,2,4,322500.0,0,51.29056272,-2.436405187
7303,4,2,4,375000.0,0,51.29056272,-2.436405187
7304,3,2,2,217500.0,0,51.29569814,-2.443295139
7305,3,2,2,203000.0,0,51.29569814,-2.443295139
7306,3,2,2,217500.0,0,51.29569814,-2.443295139
7307,3,2,3,229000.0,0,51.29391537,-2.48254545
7308,3,2,4,261000.0,0,51.29391537,-2.48254545
7309,4,2,3,242500.0,0,51.29391537,-2.48254545
7310,3,2,3,249950.0,0,51.29391537,-2.48254545
7311,3,2,3,236000.0,0,51.28354138191,-2.47662991312422
7312,2,2,3,142400.0,0,51.28842636,-2.444974554
7313,3,2,2,199950.0,0,51.28842636,-2.444974554
7314,3,2,3,170000.0,0,51.28275377,-2.460906788
7315,3,2,4,275000.0,0,51.28847015,-2.490274959
7316,3,2,2,235000.0,0,51.284171858048296,-2.46969654024556
7317,2,2,2,187000.0,0,51.284171858048296,-2.46969654024556
7318,3,2,2,215000.0,0,51.284171858048296,-2.46969654024556
7319,3,2,4,266000.0,0,51.28386288,-2.480260587
7320,4,2,4,300000.0,0,51.28386288,-2.480260587
7321,4,2,4,325000.0,0,51.285781,-2.461955
7322,3,2,3,220000.0,0,51.285781,-2.461955
7323,5,2,4,410000.0,0,51.27812707,-2.499354661
7324,2,2,2,160000.0,0,51.2940755,-2.4763801880000003
7325,2,2,2,180000.0,0,51.2940755,-2.4763801880000003
7326,2,1,1,147950.0,0,51.28681599,-2.459155041
7327,2,1,3,145000.0,0,51.28681599,-2.459155041
7328,3,2,2,150000.0,0,51.28604604,-2.485072672
7329,3,2,2,185000.0,0,51.29262608,-2.4424624280000002
7330,3,2,3,195000.0,0,51.29262608,-2.4424624280000002
7331,3,2,3,189950.0,0,51.28896902,-2.436978016
7332,3,2,3,197000.0,0,51.29137463,-2.440500035
7333,3,2,2,210000.0,0,51.29137463,-2.440500035
7334,5,2,3,257500.0,0,51.29137463,-2.440500035
7335,2,2,2,168000.0,0,51.30019739,-2.4564629140000003
7336,3,2,4,290000.0,0,51.30019739,-2.4564629140000003
7337,3,2,2,179950.0,0,51.30019739,-2.4564629140000003
7338,3,2,2,173000.0,0,51.29047801,-2.439817443
7339,4,2,3,318000.0,0,51.29366672,-2.4454698269999997
7340,3,2,3,207500.0,0,51.28317717,-2.460710291
7341,2,2,2,168000.0,0,51.29659497,-2.441539654
7342,3,2,3,270000.0,0,51.28829335,-2.4916927280000003
7343,3,2,2,177000.0,0,51.30311974,-2.456463229
7344,2,2,2,205000.0,0,51.30311974,-2.456463229
7345,2,2,2,173000.0,0,51.30311974,-2.456463229
7346,2,2,2,189950.0,0,51.30311974,-2.456463229
7347,5,2,4,460000.0,0,51.28526103,-2.490040025
7348,3,2,3,265000.0,0,51.28526103,-2.490040025
7349,4,2,4,480000.0,0,51.28526103,-2.490040025
7350,4,2,3,277500.0,0,51.28783083,-2.466292034
7351,3,2,2,255000.0,0,51.28783083,-2.466292034
7352,4,2,4,338000.0,0,51.281143,-2.488204
7353,3,2,3,273000.0,0,51.281143,-2.488204
7354,3,2,2,197500.0,0,51.2868155,-2.461564065
7355,2,2,2,187000.0,0,51.28498253,-2.468012519
7356,2,2,2,173000.0,0,51.28498253,-2.468012519
7357,2,2,2,177500.0,0,51.28498253,-2.468012519
7358,2,2,2,182000.0,0,51.28498253,-2.468012519
7359,5,2,4,475000.0,0,51.28211424,-2.483468392
7360,3,2,4,319250.0,0,51.28211424,-2.483468392
7361,3,2,3,265000.0,0,51.28211424,-2.483468392
7362,3,2,2,210000.0,0,51.28364513,-2.493693472
7363,3,2,3,230000.0,0,51.28868573,-2.438194228
7364,3,2,2,165000.0,0,51.28868573,-2.438194228
7365,3,1,1,158995.0,1,51.29239,-2.446992
7366,3,1,1,161995.0,1,51.29239,-2.446992
7367,3,1,1,158000.0,1,51.29239,-2.446992
7368,3,1,1,159995.0,1,51.29239,-2.446992
7369,5,1,1,163995.0,1,51.29239,-2.446992
7370,3,2,3,163000.0,0,51.28616414,-2.497635115
7371,3,2,2,190000.0,0,51.29430217,-2.443884042
7372,3,2,2,286000.0,0,51.28543663,-2.495318662
7373,5,2,4,335000.0,0,51.27961065,-2.495013
7374,3,2,2,192500.0,0,51.28109381,-2.497379569
7375,2,1,1,115000.0,0,51.28109381,-2.497379569
7376,3,2,2,179000.0,0,51.28109381,-2.497379569
7377,3,2,3,212000.0,0,51.28109381,-2.497379569
7378,2,1,1,117000.0,0,51.28109381,-2.497379569
7379,2,2,3,195000.0,0,51.2875616,-2.468411581
7380,2,2,3,192500.0,0,51.2875616,-2.468411581
7381,2,2,4,295000.0,0,51.29256114,-2.488196044
7382,3,2,3,271500.0,0,51.29256114,-2.488196044
7383,3,2,2,181000.0,0,51.28981785,-2.4572203619999997
7384,3,2,2,180000.0,0,51.30396546,-2.458637688
7385,4,2,2,292450.0,0,51.29685542,-2.434413895
7386,3,2,2,185750.0,0,51.29685542,-2.434413895
7387,3,2,2,217500.0,0,51.29685542,-2.434413895
7388,2,2,2,137000.0,0,51.29313849,-2.479037992
7389,4,2,4,347000.0,0,51.28500086,-2.479555
7390,2,2,2,165000.0,0,51.2900205,-2.474086753
7391,2,2,2,172000.0,0,51.2900205,-2.474086753
7392,3,2,2,179000.0,0,51.28895948,-2.4347121869999997
7393,3,2,2,207000.0,0,51.28020028,-2.472136077
7394,3,2,2,205000.0,0,51.28020028,-2.472136077
7395,3,2,2,190000.0,0,51.28020028,-2.472136077
7396,3,2,2,190000.0,0,51.28020028,-2.472136077
7397,3,2,2,185000.0,0,51.28902463,-2.47575429
7398,3,2,2,183000.0,0,51.28902463,-2.47575429
7399,2,2,3,160000.0,0,51.29171505,-2.45028384
7400,4,2,4,290000.0,0,51.2987144,-2.4516575819999997
7401,2,2,2,165000.0,0,51.28408933,-2.4687633819999997
7402,3,2,2,180000.0,0,51.28408933,-2.4687633819999997
7403,4,2,4,315000.0,0,51.27730427,-2.49193376
7404,4,2,4,327500.0,0,51.27730427,-2.49193376
7405,2,2,3,210000.0,0,51.28331992,-2.474490895
7406,4,2,4,375000.0,0,51.29295095,-2.48516
7407,4,2,4,395000.0,0,51.28652122,-2.4302439540000003
7408,2,2,3,229950.0,0,51.28370923,-2.489134516
7409,2,2,3,285000.0,0,51.28873814,-2.494967017
7410,3,2,4,284000.0,0,51.28873814,-2.494967017
7411,3,2,2,196000.0,0,51.28613341,-2.492142846
7412,4,2,4,306000.0,0,51.2830626589192,-2.4749473748042004
7413,3,2,3,205000.0,0,51.27903623,-2.497013247
7414,3,1,2,142500.0,0,51.28948839,-2.476691204
7415,4,2,2,242500.0,0,51.28948839,-2.476691204
7416,4,2,2,215000.0,0,51.28948839,-2.476691204
7417,3,2,2,295000.0,0,51.2799086,-2.477668
7418,2,2,3,189950.0,0,51.28529017,-2.469779343
7419,2,2,3,165000.0,0,51.293961,-2.4489
7420,1,2,1,159950.0,0,51.293961,-2.4489
7421,2,2,3,210000.0,0,51.28399451,-2.4586537180000003
7422,3,2,4,277500.0,0,51.28996134,-2.4948941319999998
7423,3,2,3,277000.0,0,51.28996134,-2.4948941319999998
7424,3,2,3,255000.0,0,51.28996134,-2.4948941319999998
7425,2,2,2,140000.0,0,51.29332301,-2.477892594
7426,3,2,2,249000.0,0,51.28376592,-2.494899203
7427,2,2,2,257000.0,0,51.27700518,-2.494625811
7428,3,2,3,216500.0,0,51.269837,-2.477991509
7429,3,2,2,182500.0,0,51.28565996,-2.464993858
7430,3,2,2,195500.0,0,51.2969353,-2.4513245759999998
